[GIN] 2019/10/29 - 16:51:32 | 200 |     208.092µs |             ::1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 16:51:32 | 200 |      328.85µs |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 16:51:32 | 200 |    2.530481ms |             ::1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 16:51:32 | 200 |      79.486µs |             ::1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 16:51:32 | 200 |   15.767034ms |             ::1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 16:51:32 | 200 |  104.906033ms |             ::1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/29 - 16:51:32 | 200 |      421.58µs |             ::1 | GET      /swagger/doc.json
[GIN] 2019/10/29 - 16:51:32 | 200 |    5.148298ms |             ::1 | GET      /swagger/favicon-32x32.png
http://localhost:3001
[GIN] 2019/10/29 - 16:51:36 | 200 |     307.027µs |       127.0.0.1 | POST     /api/v1/ping
[GIN] 2019/10/29 - 16:52:21 | 200 |     269.624µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 16:52:21 | 200 |     187.176µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 16:52:21 | 200 |     458.856µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 16:52:21 | 200 |    3.329725ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 16:52:21 | 200 |     193.602µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/29 - 16:52:27 | 304 |      32.378µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 16:52:27 | 200 |   18.749186ms |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 16:52:27 | 200 |      39.764µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 16:52:27 | 200 |  111.172528ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/29 - 16:52:30 | 403 |      56.442µs |       127.0.0.1 | POST     /api/v1/ping
[GIN] 2019/10/29 - 16:53:10 | 200 |      475.89µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 16:53:10 | 200 |     272.932µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 16:53:10 | 200 |     323.648µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 16:53:10 | 200 |   10.541714ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 16:53:10 | 200 |      78.953µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 16:53:10 | 200 |   28.276478ms |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 16:53:11 | 200 |  118.703871ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/29 - 16:53:11 | 200 |      4.4314ms |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/29 - 16:53:11 | 200 |     275.029µs |       127.0.0.1 | GET      /swagger/doc.json
http://gin.admin.test:3001
[GIN] 2019/10/29 - 16:53:14 | 403 |     144.033µs |       127.0.0.1 | POST     /api/v1/ping
[GIN] 2019/10/29 - 16:56:04 | 200 |     150.221µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 16:56:04 | 200 |   10.820951ms |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 16:56:04 | 200 |    3.062597ms |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 16:56:04 | 200 |   47.652217ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/29 - 16:56:05 | 200 |      80.743µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/29 - 16:56:05 | 200 |   25.200984ms |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/29 - 16:56:05 | 200 |   95.966908ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/29 - 16:56:05 | 200 |     151.976µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/29 - 16:56:05 | 200 |      42.086µs |       127.0.0.1 | GET      /swagger/favicon-32x32.png
http://i-biapi.bifrost.inagora.org:3001
[GIN] 2019/10/29 - 16:56:24 | 403 |     164.307µs |       127.0.0.1 | POST     /api/v1/ping
http://i-biapi.bifrost.inagora.org:3001
[GIN] 2019/10/29 - 16:56:46 | 403 |     186.441µs |       127.0.0.1 | POST     /api/v1/ping
[GIN] 2019/10/29 - 16:59:02 | 200 |     453.056µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/29 - 16:59:02 | 200 |     207.146µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/29 - 16:59:02 | 200 |     322.145µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/29 - 16:59:02 | 200 |    3.082464ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
