[GIN] 2019/10/25 - 20:08:34 | 200 |     201.297µs |             ::1 | GET      /swagger/doc.json
[GIN] 2019/10/25 - 20:09:01 | 200 |     398.942µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/25 - 20:09:02 | 200 |      464.89µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/25 - 20:09:02 | 200 |     314.636µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/25 - 20:09:02 | 200 |     187.029µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/25 - 20:09:02 | 200 |    9.754965ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/25 - 20:09:02 | 200 |   22.249369ms |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/25 - 20:09:02 | 200 |    4.175411ms |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/25 - 20:09:02 | 200 |  103.510597ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/25 - 20:09:02 | 200 |     188.397µs |             ::1 | GET      /swagger/doc.json
[GIN] 2019/10/25 - 20:09:03 | 200 |      61.121µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/25 - 20:09:03 | 304 |      74.472µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/25 - 20:09:03 | 304 |     114.748µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/25 - 20:09:03 | 304 |     120.523µs |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/25 - 20:09:03 | 304 |      32.622µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/25 - 20:09:03 | 304 |      27.662µs |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/25 - 20:09:03 | 304 |      43.544µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/25 - 20:09:03 | 200 |      44.011µs |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/25 - 20:09:03 | 200 |     231.041µs |             ::1 | GET      /swagger/doc.json
[GIN] 2019/10/25 - 20:10:50 | 200 |     302.171µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/25 - 20:10:50 | 200 |     328.184µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/25 - 20:10:50 | 200 |      68.275µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/25 - 20:10:50 | 200 |     384.219µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/25 - 20:10:50 | 200 |    8.762432ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/25 - 20:10:50 | 200 |   23.378754ms |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/25 - 20:10:50 | 200 |  101.698285ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/25 - 20:10:50 | 200 |    4.214325ms |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/25 - 20:10:50 | 200 |     182.877µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/25 - 20:11:55 | 200 |     380.844µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/25 - 20:11:55 | 200 |     285.539µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/25 - 20:11:55 | 200 |     382.198µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/25 - 20:11:55 | 200 |     139.895µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/25 - 20:11:55 | 200 |   11.349627ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/25 - 20:11:55 | 200 |   16.678823ms |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/25 - 20:11:55 | 200 |    4.421619ms |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/25 - 20:11:55 | 200 |  111.209358ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/25 - 20:11:55 | 200 |     180.462µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/25 - 20:12:35 | 200 |      84.828µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/25 - 20:12:35 | 304 |      57.841µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/25 - 20:12:35 | 304 |      36.133µs |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/25 - 20:12:35 | 304 |      25.763µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/25 - 20:12:35 | 304 |       33.16µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/25 - 20:12:35 | 304 |      26.009µs |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/25 - 20:12:35 | 304 |      36.985µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/25 - 20:12:35 | 200 |      56.963µs |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/25 - 20:12:35 | 200 |     587.639µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/25 - 20:14:00 | 200 |      455.24µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/25 - 20:14:00 | 200 |     252.302µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/25 - 20:14:00 | 200 |    9.111003ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/25 - 20:14:00 | 200 |      54.392µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/25 - 20:14:00 | 200 |     379.744µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/25 - 20:14:00 | 200 |   66.852986ms |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/25 - 20:14:00 | 200 |    25.29351ms |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/25 - 20:14:00 | 200 |    4.449509ms |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/25 - 20:14:00 | 200 |     189.714µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/25 - 20:14:09 | 200 |      51.695µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/25 - 20:14:09 | 304 |      34.438µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/25 - 20:14:09 | 304 |      40.583µs |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/25 - 20:14:09 | 304 |      50.252µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/25 - 20:14:09 | 200 |     101.752µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/25 - 20:14:45 | 200 |      48.327µs |       127.0.0.1 | GET      /swagger/index.html
[GIN] 2019/10/25 - 20:14:45 | 304 |      32.529µs |       127.0.0.1 | GET      /swagger/swagger-ui.css
[GIN] 2019/10/25 - 20:14:45 | 304 |      38.456µs |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js
[GIN] 2019/10/25 - 20:14:45 | 304 |      66.609µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js
[GIN] 2019/10/25 - 20:14:45 | 304 |      80.274µs |       127.0.0.1 | GET      /swagger/swagger-ui.css.map
[GIN] 2019/10/25 - 20:14:45 | 304 |       38.51µs |       127.0.0.1 | GET      /swagger/swagger-ui-bundle.js.map
[GIN] 2019/10/25 - 20:14:45 | 304 |      28.096µs |       127.0.0.1 | GET      /swagger/swagger-ui-standalone-preset.js.map
[GIN] 2019/10/25 - 20:14:45 | 200 |      82.678µs |       127.0.0.1 | GET      /swagger/favicon-32x32.png
[GIN] 2019/10/25 - 20:14:45 | 200 |     115.977µs |       127.0.0.1 | GET      /swagger/doc.json
[GIN] 2019/10/25 - 20:15:50 | 200 |     534.435µs |       127.0.0.1 | GET      /swagger/index.html
